Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing,Type
"2 BHK Flat for Sale in Pearl Apartment, Pearl Apartment, Jodhpur Park, Kolkata",Kolkata,Jodhpur Park,2,9300000,,748.0,12433.0,Semi-Furnished,buy
"4 BHK Flat for Sale in Prudent Pragati , Prudent Pragati, Narendrapur Rajpur Sonarpur, Kolkata",Kolkata,Narendrapur,4,10000000,,1267.0,7893.0,Unfurnished,buy
"2 BHK Flat for Sale in Northern Heights, Northern Heights, Ultadanga, Kolkata",Kolkata,Ultadanga,2,10500000,,960.0,10938.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Sahapur New Alipore, Kolkata",Kolkata,Sahapur,3,10000000,,1150.0,8696.0,Furnished,buy
"3 BHK Flat for Sale in Alcove Regency, Alcove Regency, Eastern Metropolitan Bypass, Kolkata",Kolkata,EM Bypass,3,24000000,,2200.0,10909.0,Furnished,buy
"2 BHK Flat for Sale in Baghajatin Colony, Kolkata",Kolkata,Baghajatin,2,4500000,,1000.0,4500.0,Unfurnished,buy
"2 BHK Flat for Sale in Ambagan, Kolkata",Kolkata,Ambagan,2,2500000,,650.0,3846.0,Unfurnished,buy
"2 BHK Flat for Sale in Kaikhali, Kolkata",Kolkata,Kaikhali,2,3800000,,850.0,4471.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Tangra, Kolkata",Kolkata,Tangra,3,19000000,,1400.0,13571.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Green View, Green View, Southern Avenue, Kolkata",Kolkata,Southern Avenue,3,13500000,,1030.0,13107.0,Furnished,buy
5 BHK House for Sale in Sector 1 Salt Lake City Kolkata,Kolkata,Sector 1 Salt Lake City,5,45000000,,2500.0,18000.0,Unfurnished,buy
"2 BHK Flat for Sale in Jagatdal, Kolkata",Kolkata,Jagatdal,2,3800000,,594.0,6397.0,Furnished,buy
"2 BHK Flat for Sale in Siddha Eden Lakeville, Siddha Eden Lakeville, Barrackpore Trunk Road, Kolkata",Kolkata,Barrackpore Trunk Road,2,6600000,,860.0,7674.0,Unfurnished,buy
"3 BHK Flat for Sale in Bablatala, Gopalpur Gram, Kolkata",Kolkata,Bablatala,3,9200000,,1280.0,7188.0,Unfurnished,buy
6 BHK House for Sale in New Alipore Kolkata,Kolkata,New Alipore,6,32500000,,3000.0,10833.0,Furnished,buy
3 BHK House for Sale in Airport 2 Number Gate Kolkata,Kolkata,Airport 2 Number Gate,3,7000000,,1000.0,7000.0,Unfurnished,buy
"3 BHK Flat for Sale in Biswanath Abasan, Biswanath Abasan, Tegharia Baguiati, Kolkata",Kolkata,Teghoria,3,6100000,,1050.0,5810.0,Semi-Furnished,buy
"4 BHK Flat for Sale in Bangur Avenue, Lake Town, Kolkata",Kolkata,Bangur Avenue,4,13000000,,1300.0,10000.0,Semi-Furnished,buy
"1 BHK Flat for Sale in New Alipore, Kolkata",Kolkata,New Alipore,1,2350000,,380.0,6184.0,Furnished,buy
3 BHK Flat for Sale in Kolkata,Kolkata,swastik tower,3,11000000,,1680.0,6548.0,Semi-Furnished,buy
3 BHK House for Sale in Salap Kolkata,Kolkata,Salap,3,3500000,,1000.0,3500.0,Unfurnished,buy
