property_price_lakhs,chosen_tax_regime,monthly_emi,effective_monthly_emi,final_buying_wealth_crore,final_renting_wealth_crore,decision
60.0,DYNAMIC,40179.0,40179.0,2.0,3.2,RENT
40.0,DYNAMIC,26786.0,26786.0,1.34,1.92,RENT
30.0,DYNAMIC,22601.0,22601.0,1.0,1.49,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,2.56,RENT
20.0,DYNAMIC,15067.0,15067.0,0.67,1.01,RENT
68.0,DYNAMIC,45536.0,45536.0,2.27,3.87,RENT
125.0,DYNAMIC,54667.0,54667.0,4.17,2.66,BUY
86.0,DYNAMIC,53991.0,53991.0,2.87,4.65,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,2.45,BUY
200.0,DYNAMIC,54667.0,54667.0,6.68,4.74,BUY
47.0,DYNAMIC,31474.0,31474.0,1.57,2.8,RENT
35.0,DYNAMIC,23438.0,23438.0,1.17,1.84,RENT
135.0,DYNAMIC,54667.0,54667.0,4.51,3.24,BUY
60.0,DYNAMIC,40179.0,40179.0,2.0,1.8,BUY
83.5,DYNAMIC,52421.0,52421.0,2.79,4.72,RENT
52.0,DYNAMIC,34822.0,34822.0,1.74,2.76,RENT
21.5,DYNAMIC,16197.0,16197.0,0.72,0.14,BUY
37.0,DYNAMIC,24777.0,24777.0,1.24,1.66,RENT
25.0,DYNAMIC,18834.0,18834.0,0.83,0.17,BUY
25.0,DYNAMIC,18834.0,18834.0,0.83,0.71,BUY
120.0,DYNAMIC,54667.0,54667.0,4.01,5.61,RENT
290.0,DYNAMIC,54667.0,54667.0,9.69,4.88,BUY
28.0,DYNAMIC,21094.0,21094.0,0.94,1.15,RENT
67.0,DYNAMIC,44867.0,44867.0,2.24,3.06,RENT
140.0,DYNAMIC,54667.0,54667.0,4.68,3.99,BUY
29.0,DYNAMIC,21847.0,21847.0,0.97,0.2,BUY
27.0,DYNAMIC,20341.0,20341.0,0.9,1.23,RENT
67.0,DYNAMIC,44867.0,44867.0,2.24,3.59,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,4.37,RENT
30.0,DYNAMIC,22601.0,22601.0,1.0,1.41,RENT
79.0,DYNAMIC,49596.0,49596.0,2.64,4.79,RENT
624.0,DYNAMIC,54667.0,54667.0,20.84,10.49,BUY
300.0,DYNAMIC,54667.0,54667.0,10.02,5.05,BUY
20.0,DYNAMIC,15067.0,15067.0,0.67,0.54,BUY
30.0,DYNAMIC,22601.0,22601.0,1.0,1.33,RENT
47.0,DYNAMIC,31474.0,31474.0,1.57,2.43,RENT
125.0,DYNAMIC,54667.0,54667.0,4.17,3.14,BUY
32.0,DYNAMIC,21429.0,21429.0,1.07,0.78,BUY
57.0,DYNAMIC,38170.0,38170.0,1.9,1.71,BUY
