Name,Address,Bedrooms,Price,Rent,Area,Furnishing,Type,Match_Type,Price_Per_Sqft,Rent_Per_Sqft
"Kankurgachi, Kolkata",kankurgachi,3,6000000,20000,937.0,Furnished,buy,exact_match,6403.42,21.34
6 BHK House for Sale in Chinsurah Kolkata,hooghly-chinsurah,6,12500000,165326,3019.0,Semi-Furnished,buy,bedroom_only,4140.44,54.76
"Katyayani Apartment, Katyayani Apartment, Dum Dum, Kolkata",dum dum,2,3700000,10112,600.0,Unfurnished,buy,address_bedroom,6166.67,16.85
"Usha Park, Bansdroni, Kolkata",usha park,2,3500000,13071,610.0,Unfurnished,buy,bedroom_only,5737.7,21.43
"KCB Solace, KCB Solace, New Town, Kolkata",new town,3,9250000,55000,808.0,Unfurnished,buy,exact_match,11448.02,68.07
"Rajwada Altitude, Rajwada Altitude, Kolkata",embypass sahapara garia,4,13000000,43836,1068.0,Unfurnished,buy,bedroom_only,12172.28,41.04
"Ganguly 4 Sight Grand Castle, Ganguly 4 Sight Grand Castle, Mahamaya Tala, Garia, Kolkata",mahamaya tala,3,12500000,26259,1523.0,Unfurnished,buy,address_bedroom,8207.49,17.24
8 BHK House for Sale in Pratapgarh Garfa Kolkata,pratapgarh,8,12500000,61753,2700.0,Semi-Furnished,buy,city_avg,4629.63,22.87
"Srijan Solus, Srijan Solus, Madhyamgram, Kolkata",madhyamgram,3,5800000,25000,1094.0,Unfurnished,buy,exact_match,5301.65,22.85
"Unimark Lakewood Estate, Unimark Lakewood Estate, Patuli, Kolkata",patuli,3,12000000,30000,1420.0,Semi-Furnished,buy,exact_match,8450.7,21.13
6 BHK House for Sale in Nilganj Road Kolkata,nilganj road,6,16000000,108429,1980.0,Semi-Furnished,buy,bedroom_only,8080.81,54.76
"Fort Residency, Fort Residency, Behala, Kolkata",behala,1,3300000,7583,455.0,Furnished,buy,address_bedroom,7252.75,16.67
"Sinthee, Kolkata",sinthi,1,3200000,12762,670.0,Semi-Furnished,buy,address_only,4776.12,19.05
"Pressman Apartment, Pressman Apartment, Tollygunge, Kolkata",tollygunge,1,4000000,15556,700.0,Semi-Furnished,buy,address_bedroom,5714.29,22.22
"Sureka Elita Garden Vista, Sureka Elita Garden Vista, New Town, Kolkata",new town,3,14100000,75000,1525.0,Furnished,buy,exact_match,9245.9,49.18
Kolkata,anisabad,3,4000000,28286,990.0,Semi-Furnished,buy,address_only,4040.4,28.57
"Bally, Kolkata",bally,2,1700000,10714,500.0,Semi-Furnished,buy,bedroom_only,3400.0,21.43
"Swinhoe Castle, Swinhoe Castle, Ballygunge, Kolkata",ballygunge,1,2500000,22500,450.0,Furnished,buy,address_only,5555.56,50.0
"Santoshpur, Kolkata",santoshpur,3,8600000,18454,1255.0,Unfurnished,buy,address_bedroom,6852.59,14.7
"3 BHK Villa for Sale in Emami Aastha, Bishnupur Kolkata",bishnupur,3,13000000,32071,1347.0,Semi-Furnished,buy,bedroom_only,9651.08,23.81
"Mukundapur Main Road, Kolkata",mukundapur main road,2,2800000,15561,907.0,Furnished,buy,address_only,3087.1,17.16
5 BHK House for Sale in Sector 2 Salt Lake City Kolkata,sector 2 salt lake city,5,25000000,1587,84.0,Semi-Furnished,buy,address_only,297619.05,18.89
"Banerjee Para Paschim Putiary, Kolkata",banerjee para,2,2700000,15429,720.0,Unfurnished,buy,bedroom_only,3750.0,21.43
"Uttarpara Chinsurah, Kolkata",uttarpara,2,3500000,16000,960.0,Semi-Furnished,buy,exact_match,3645.83,16.67
"Unimark Springfield, Unimark Springfield, Rajarhat, Kolkata",rajarhat,3,8200000,35000,1235.0,Semi-Furnished,buy,exact_match,6639.68,28.34
